2024-02-07 12:01:00,004 category: jira.header.menu.admin, apdex: {apdexScore=100, satisfiedCount=1, toleratingCount=0, frustratedCount=0}
2024-02-07 14:01:00,026 category: jira.header.menu.projects, apdex: {apdexScore=100, satisfiedCount=3, toleratingCount=0, frustratedCount=0}
2024-02-07 14:01:00,027 category: jira.dialog.open.add-issue-type-screen-scheme-configuration-association-dialog, apdex: {apdexScore=100, satisfiedCount=1, toleratingCount=0, frustratedCount=0}
2024-02-07 14:01:00,027 category: overall, apdex: {apdexScore=92, satisfiedCount=28, toleratingCount=5, frustratedCount=0}
2024-02-07 14:01:00,027 category: jira.dialog.open.issue-actions-dialog, apdex: {apdexScore=100, satisfiedCount=1, toleratingCount=0, frustratedCount=0}
2024-02-07 14:01:00,027 category: jira.header.menu.agile, apdex: {apdexScore=100, satisfiedCount=1, toleratingCount=0, frustratedCount=0}
2024-02-07 14:01:00,029 category: jira.dialog.open.add-issue-type-dialog, apdex: {apdexScore=100, satisfiedCount=1, toleratingCount=0, frustratedCount=0}
2024-02-08 09:01:00,023 category: jira.dialog.open.create-issue-dialog, apdex: {apdexScore=100, satisfiedCount=1, toleratingCount=0, frustratedCount=0}
2024-02-08 09:01:00,026 category: jira.dialog.open.assign-dialog, apdex: {apdexScore=100, satisfiedCount=1, toleratingCount=0, frustratedCount=0}
2024-02-08 09:01:00,026 category: jira.dialog.open.edit-issue-dialog, apdex: {apdexScore=100, satisfiedCount=4, toleratingCount=0, frustratedCount=0}
2024-02-08 09:01:00,027 category: jira.dashboard, apdex: {apdexScore=50, satisfiedCount=0, toleratingCount=1, frustratedCount=0}
2024-02-08 09:01:00,027 category: jira.header.menu.admin, apdex: {apdexScore=100, satisfiedCount=3, toleratingCount=0, frustratedCount=0}
2024-02-08 09:01:00,027 category: jira.header.menu.issues, apdex: {apdexScore=100, satisfiedCount=4, toleratingCount=0, frustratedCount=0}
2024-02-08 09:01:00,027 category: jira.project.issue.view-issue, apdex: {apdexScore=87, satisfiedCount=3, toleratingCount=1, frustratedCount=0}
2024-02-08 09:01:00,027 category: jira.header.menu.profile, apdex: {apdexScore=100, satisfiedCount=2, toleratingCount=0, frustratedCount=0}
2024-02-08 09:01:00,028 category: jira.issue.nav-detail, apdex: {apdexScore=50, satisfiedCount=0, toleratingCount=1, frustratedCount=0}
2024-02-08 09:01:00,028 category: jira.agile.work-detail, apdex: {apdexScore=83, satisfiedCount=2, toleratingCount=1, frustratedCount=0}
2024-02-08 09:01:00,028 category: jira.header.menu.projects, apdex: {apdexScore=100, satisfiedCount=2, toleratingCount=0, frustratedCount=0}
2024-02-08 09:01:00,028 category: overall, apdex: {apdexScore=93, satisfiedCount=28, toleratingCount=4, frustratedCount=0}
2024-02-08 09:01:00,029 category: jira.dialog.open.issue-actions-dialog, apdex: {apdexScore=100, satisfiedCount=1, toleratingCount=0, frustratedCount=0}
2024-02-08 09:01:00,029 category: jira.dialog.open.add-issue-type-dialog, apdex: {apdexScore=100, satisfiedCount=1, toleratingCount=0, frustratedCount=0}
2024-02-08 09:01:00,029 category: jira.header.menu.agile, apdex: {apdexScore=100, satisfiedCount=4, toleratingCount=0, frustratedCount=0}
2024-02-09 11:01:00,018 category: jira.header.menu.admin, apdex: {apdexScore=100, satisfiedCount=2, toleratingCount=0, frustratedCount=0}
2024-02-09 11:01:00,020 category: jira.agile.work-detail, apdex: {apdexScore=50, satisfiedCount=0, toleratingCount=1, frustratedCount=0}
2024-02-09 11:01:00,020 category: overall, apdex: {apdexScore=95, satisfiedCount=11, toleratingCount=1, frustratedCount=0}
2024-02-09 11:01:00,021 category: jira.header.menu.help, apdex: {apdexScore=100, satisfiedCount=1, toleratingCount=0, frustratedCount=0}
2024-02-09 11:01:00,021 category: jira.dialog.open.delete-issue-dialog, apdex: {apdexScore=100, satisfiedCount=7, toleratingCount=0, frustratedCount=0}
2024-02-09 11:01:00,021 category: jira.dialog.open.add-issue-type-dialog, apdex: {apdexScore=100, satisfiedCount=1, toleratingCount=0, frustratedCount=0}
